id;employee_code;effective_date;salary;commission_pct;contract_number;contract_start_date;contract_end_date;contract_type;employee_id
1;salmon;2022-01-26T19:58:59;736720;32;Direct Assimilated systems;2022-01-26T07:33:43;2022-01-26T20:51:25;neutral Programmable stable;1
2;analyzing;2022-01-26T17:31:54;897377;6;Garden Gloves;2022-01-26T11:07:46;2022-01-27T01:30:27;copy Pizza;2
3;generate;2022-01-26T22:25:56;990480;100;ivory program Rhode;2022-01-26T06:12:24;2022-01-26T10:54:26;Intelligent Plastic communities;3
4;models Intelligent Arab;2022-01-26T06:33:01;522808;76;Architect RSS Automotive;2022-01-26T12:33:32;2022-01-26T15:29:24;technologies Home Fantastic;4
5;distributed;2022-01-26T04:35:15;306100;42;Bangladesh Program;2022-01-26T14:08:31;2022-01-27T02:50:24;Granite Delaware;5
6;Spur;2022-01-26T04:36:28;737369;80;Intuitive;2022-01-26T13:24:06;2022-01-26T14:17:42;Planner;6
7;infomediaries Liaison Branding;2022-01-26T20:53:51;798475;45;Account;2022-01-26T11:39:26;2022-01-26T11:43:02;HDD bus Principal;7
8;Reduced Implementation Unbranded;2022-01-26T04:44:06;150737;55;multi-byte California 5th;2022-01-26T23:42:12;2022-01-26T08:05:34;salmon Lek Ville;8
9;deposit;2022-01-26T21:39:42;627892;9;system magenta Strategist;2022-01-26T15:34:14;2022-01-26T07:07:25;Berkshire static HDD;9
10;South Consultant secondary;2022-01-26T11:32:22;904087;38;copying panel International;2022-01-26T07:04:36;2022-01-26T06:42:55;withdrawal interface content;10
